model_version,accuracy,precision,recall,f1_score,model_size_mb,total_inference_time,avg_inference_time_per_sample
FP32 Baseline,99.57219251336899,0.9916666666666667,0.9916666666666667,0.9916666666666667,2.44533634185791,0.20828032493591309,0.0001113798529069054
PTQ Dynamic,99.57219251336899,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.614811897277832,0.12053656578063965,6.445805656718698e-05
FP32 Baseline Skewed,99.62566844919786,0.9937369519832986,0.9916666666666667,0.9927007299270073,2.44533634185791,0.05202054977416992,2.7818475815064128e-05
PTQ Dynamic Skewed,99.57219251336899,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.614811897277832,0.06163311004638672,3.295888237774691e-05
